scenario,seed,channel,lambda,par,fpr,fnr,par_zero,delta_proc,coupling_proxy
multimodal_conflict,1,zone_permutation,0.0,0.9,0.0,0.1,0.9,0.0,1.0
multimodal_conflict,2,zone_permutation,0.0,1.0,0.0,0.0,1.0,0.0,1.0
multimodal_conflict,3,zone_permutation,0.0,1.0,0.0,0.0,1.0,0.0,1.0
multimodal_conflict,4,zone_permutation,0.0,1.0,0.0,0.0,1.0,0.0,1.0
multimodal_conflict,5,zone_permutation,0.0,1.0,0.0,0.0,1.0,0.0,1.0
multimodal_conflict,6,zone_permutation,0.0,1.0,0.0,0.0,1.0,0.0,1.0
multimodal_conflict,7,zone_permutation,0.0,0.9,0.0,0.1,0.9,0.0,1.0
multimodal_conflict,8,zone_permutation,0.0,0.9,0.0,0.1,0.9,0.0,1.0
multimodal_conflict,9,zone_permutation,0.0,0.9,0.0,0.1,0.9,0.0,1.0
multimodal_conflict,10,zone_permutation,0.0,0.8,0.0,0.2,0.8,0.0,1.0
multimodal_conflict,11,zone_permutation,0.0,0.9,0.0,0.1,0.9,0.0,1.0
multimodal_conflict,12,zone_permutation,0.0,0.9,0.0,0.1,0.9,0.0,1.0
multimodal_conflict,13,zone_permutation,0.0,1.0,0.0,0.0,1.0,0.0,1.0
multimodal_conflict,14,zone_permutation,0.0,1.0,0.0,0.0,1.0,0.0,1.0
multimodal_conflict,15,zone_permutation,0.0,1.0,0.0,0.0,1.0,0.0,1.0
multimodal_conflict,16,zone_permutation,0.0,1.0,0.0,0.0,1.0,0.0,1.0
multimodal_conflict,17,zone_permutation,0.0,0.7,0.0,0.3,0.7,0.0,1.0
multimodal_conflict,18,zone_permutation,0.0,0.9,0.0,0.1,0.9,0.0,1.0
multimodal_conflict,19,zone_permutation,0.0,0.7,0.0,0.3,0.7,0.0,1.0
multimodal_conflict,20,zone_permutation,0.0,0.7,0.0,0.3,0.7,0.0,1.0
multimodal_conflict,21,zone_permutation,0.0,0.9,0.0,0.1,0.9,0.0,1.0
multimodal_conflict,22,zone_permutation,0.0,1.0,0.0,0.0,1.0,0.0,1.0
multimodal_conflict,23,zone_permutation,0.0,0.6,0.0,0.4,0.6,0.0,1.0
multimodal_conflict,24,zone_permutation,0.0,1.0,0.0,0.0,1.0,0.0,1.0
multimodal_conflict,25,zone_permutation,0.0,1.0,0.0,0.0,1.0,0.0,1.0
multimodal_conflict,26,zone_permutation,0.0,1.0,0.0,0.0,1.0,0.0,1.0
multimodal_conflict,27,zone_permutation,0.0,1.0,0.0,0.0,1.0,0.0,1.0
multimodal_conflict,28,zone_permutation,0.0,1.0,0.0,0.0,1.0,0.0,1.0
multimodal_conflict,29,zone_permutation,0.0,0.8,0.0,0.2,0.8,0.0,1.0
multimodal_conflict,30,zone_permutation,0.0,1.0,0.0,0.0,1.0,0.0,1.0
evacuation_recommendation,1,zone_permutation,0.0,0.95,0.0,0.05,0.95,0.0,1.0
evacuation_recommendation,2,zone_permutation,0.0,0.95,0.0,0.05,0.95,0.0,1.0
evacuation_recommendation,3,zone_permutation,0.0,0.8,0.0,0.2,0.8,0.0,1.0
evacuation_recommendation,4,zone_permutation,0.0,0.95,0.0,0.05,0.95,0.0,1.0
evacuation_recommendation,5,zone_permutation,0.0,1.0,0.0,0.0,1.0,0.0,1.0
evacuation_recommendation,6,zone_permutation,0.0,0.9,0.0,0.1,0.9,0.0,1.0
evacuation_recommendation,7,zone_permutation,0.0,0.9,0.0,0.1,0.9,0.0,1.0
evacuation_recommendation,8,zone_permutation,0.0,0.95,0.0,0.05,0.95,0.0,1.0
evacuation_recommendation,9,zone_permutation,0.0,0.95,0.0,0.05,0.95,0.0,1.0
evacuation_recommendation,10,zone_permutation,0.0,0.95,0.0,0.05,0.95,0.0,1.0
evacuation_recommendation,11,zone_permutation,0.0,1.0,0.0,0.0,1.0,0.0,1.0
evacuation_recommendation,12,zone_permutation,0.0,0.95,0.0,0.05,0.95,0.0,1.0
evacuation_recommendation,13,zone_permutation,0.0,1.0,0.0,0.0,1.0,0.0,1.0
evacuation_recommendation,14,zone_permutation,0.0,1.0,0.0,0.0,1.0,0.0,1.0
evacuation_recommendation,15,zone_permutation,0.0,0.95,0.0,0.05,0.95,0.0,1.0
evacuation_recommendation,16,zone_permutation,0.0,0.9,0.0,0.1,0.9,0.0,1.0
evacuation_recommendation,17,zone_permutation,0.0,1.0,0.0,0.0,1.0,0.0,1.0
evacuation_recommendation,18,zone_permutation,0.0,0.95,0.0,0.05,0.95,0.0,1.0
evacuation_recommendation,19,zone_permutation,0.0,0.9,0.0,0.1,0.9,0.0,1.0
evacuation_recommendation,20,zone_permutation,0.0,1.0,0.0,0.0,1.0,0.0,1.0
evacuation_recommendation,21,zone_permutation,0.0,0.8,0.0,0.2,0.8,0.0,1.0
evacuation_recommendation,22,zone_permutation,0.0,1.0,0.0,0.0,1.0,0.0,1.0
evacuation_recommendation,23,zone_permutation,0.0,0.95,0.0,0.05,0.95,0.0,1.0
evacuation_recommendation,24,zone_permutation,0.0,0.9,0.0,0.1,0.9,0.0,1.0
evacuation_recommendation,25,zone_permutation,0.0,0.9,0.0,0.1,0.9,0.0,1.0
evacuation_recommendation,26,zone_permutation,0.0,0.95,0.0,0.05,0.95,0.0,1.0
evacuation_recommendation,27,zone_permutation,0.0,0.95,0.0,0.05,0.95,0.0,1.0
