scenario,baseline,metric,n,mean,std,t_ci_low,t_ci_high,boot_ci_low,boot_ci_high,unique_values
evacuation_recommendation,B3,false_negative_rate,30,1.0,0.0,1.0,1.0,1.0,1.0,1
evacuation_recommendation,B3,explanation_completeness_score,30,1.0,0.0,1.0,1.0,1.0,1.0,1
evacuation_recommendation,B3,end_to_end_latency_ms,30,350.2,22.951824,341.630611,358.769389,342.033333,358.0,20
evacuation_recommendation,B4,event_detection_accuracy,30,0.0,0.0,0.0,0.0,0.0,0.0,1
evacuation_recommendation,B4,false_positive_rate,30,1.0,0.0,1.0,1.0,1.0,1.0,1
evacuation_recommendation,B4,false_negative_rate,30,1.0,0.0,1.0,1.0,1.0,1.0,1
evacuation_recommendation,B4,explanation_completeness_score,30,0.0,0.0,0.0,0.0,0.0,0.0,1
evacuation_recommendation,B4,end_to_end_latency_ms,30,167.2,22.951824,158.630611,175.769389,159.033333,175.0,20
evacuation_recommendation,B5,event_detection_accuracy,30,0.0,0.0,0.0,0.0,0.0,0.0,1
evacuation_recommendation,B5,false_positive_rate,30,1.0,0.0,1.0,1.0,1.0,1.0,1
evacuation_recommendation,B5,false_negative_rate,30,1.0,0.0,1.0,1.0,1.0,1.0,1
evacuation_recommendation,B5,explanation_completeness_score,30,1.0,0.0,1.0,1.0,1.0,1.0,1
evacuation_recommendation,B5,end_to_end_latency_ms,30,167.2,22.951824,158.630611,175.769389,159.033333,175.0,20
exit_blockage,B1,event_detection_accuracy,30,0.5,0.0,0.5,0.5,0.5,0.5,1
exit_blockage,B1,false_positive_rate,30,0.34442,0.018756,0.337417,0.351423,0.33747,0.35137,2
exit_blockage,B1,false_negative_rate,30,0.5,0.0,0.5,0.5,0.5,0.5,1
exit_blockage,B1,explanation_completeness_score,30,1.0,0.0,1.0,1.0,1.0,1.0,1
exit_blockage,B1,end_to_end_latency_ms,30,325.533333,44.175772,309.039681,342.026986,312.333333,342.533333,20
exit_blockage,B2,event_detection_accuracy,30,0.04,0.020342,0.032405,0.047595,0.031667,0.046667,2
exit_blockage,B2,false_positive_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,1
exit_blockage,B2,false_negative_rate,30,0.96,0.020342,0.952405,0.967595,0.953333,0.968333,2
exit_blockage,B2,explanation_completeness_score,30,0.8,0.406838,0.648101,0.951899,0.633333,0.933333,2
exit_blockage,B2,end_to_end_latency_ms,30,305.2,22.951824,296.630611,313.769389,297.033333,313.0,20
exit_blockage,B3,event_detection_accuracy,30,0.5,0.0,0.5,0.5,0.5,0.5,1
exit_blockage,B3,false_positive_rate,30,0.34442,0.018756,0.337417,0.351423,0.33747,0.35137,2
exit_blockage,B3,false_negative_rate,30,0.5,0.0,0.5,0.5,0.5,0.5,1
exit_blockage,B3,explanation_completeness_score,30,1.0,0.0,1.0,1.0,1.0,1.0,1
exit_blockage,B3,end_to_end_latency_ms,30,350.2,22.951824,341.630611,358.769389,342.033333,358.0,20
exit_blockage,B4,event_detection_accuracy,30,0.0,0.0,0.0,0.0,0.0,0.0,1
exit_blockage,B4,false_positive_rate,30,1.0,0.0,1.0,1.0,1.0,1.0,1
exit_blockage,B4,false_negative_rate,30,1.0,0.0,1.0,1.0,1.0,1.0,1
exit_blockage,B4,explanation_completeness_score,30,0.0,0.0,0.0,0.0,0.0,0.0,1
exit_blockage,B4,end_to_end_latency_ms,30,167.2,22.951824,158.630611,175.769389,159.033333,175.0,20
exit_blockage,B5,event_detection_accuracy,30,0.5,0.0,0.5,0.5,0.5,0.5,1
exit_blockage,B5,false_positive_rate,30,0.384813,0.016552,0.378633,0.390993,0.37868,0.390947,2
exit_blockage,B5,false_negative_rate,30,0.5,0.0,0.5,0.5,0.5,0.5,1
exit_blockage,B5,explanation_completeness_score,30,1.0,0.0,1.0,1.0,1.0,1.0,1
exit_blockage,B5,end_to_end_latency_ms,30,167.2,22.951824,158.630611,175.769389,159.033333,175.0,20
multimodal_conflict,B1,event_detection_accuracy,30,0.0,0.0,0.0,0.0,0.0,0.0,1
multimodal_conflict,B1,false_positive_rate,30,1.0,0.0,1.0,1.0,1.0,1.0,1
multimodal_conflict,B1,false_negative_rate,30,1.0,0.0,1.0,1.0,1.0,1.0,1
